time	variable	value	conc	repl
0	R_R3_0	0.008813525	0	R3
0.5	R_R3_0	0.009813525	0	R3
1	R_R3_0	0.012813525	0	R3
1.5	R_R3_0	0.017813525	0	R3
2	R_R3_0	0.022813525	0	R3
2.5	R_R3_0	0.033813525	0	R3
3	R_R3_0	0.048813525	0	R3
3.5	R_R3_0	0.070813525	0	R3
4	R_R3_0	0.102813525	0	R3
4.5	R_R3_0	0.141813525	0	R3
5	R_R3_0	0.189813525	0	R3
5.5	R_R3_0	0.243813525	0	R3
6	R_R3_0	0.286813525	0	R3
6.5	R_R3_0	0.309813525	0	R3
7	R_R3_0	0.323813525	0	R3
7.5	R_R3_0	0.340813525	0	R3
8	R_R3_0	0.350813525	0	R3
8.5	R_R3_0	0.345813525	0	R3
9	R_R3_0	0.361813525	0	R3
9.5	R_R3_0	0.370813525	0	R3
10	R_R3_0	0.371813525	0	R3
10.5	R_R3_0	0.380813525	0	R3
11	R_R3_0	0.386813525	0	R3
11.5	R_R3_0	0.393813525	0	R3
12	R_R3_0	0.397813525	0	R3
12.5	R_R3_0	0.402813525	0	R3
13	R_R3_0	0.408813525	0	R3
13.5	R_R3_0	0.414813525	0	R3
14	R_R3_0	0.417813525	0	R3
14.5	R_R3_0	0.422813525	0	R3
15	R_R3_0	0.430813525	0	R3
15.5	R_R3_0	0.434813525	0	R3
16	R_R3_0	0.440813525	0	R3
16.5	R_R3_0	0.445813525	0	R3
17	R_R3_0	0.450813525	0	R3
17.5	R_R3_0	0.457813525	0	R3
18	R_R3_0	0.458813525	0	R3
18.5	R_R3_0	0.466813525	0	R3
19	R_R3_0	0.471813525	0	R3
19.5	R_R3_0	0.471813525	0	R3
20	R_R3_0	0.476813525	0	R3
20.5	R_R3_0	0.479813525	0	R3
21	R_R3_0	0.479813525	0	R3
21.5	R_R3_0	0.481813525	0	R3
22	R_R3_0	0.483813525	0	R3
22.5	R_R3_0	0.487813525	0	R3
23	R_R3_0	0.490813525	0	R3
23.5	R_R3_0	0.489813525	0	R3
24	R_R3_0	0.490813525	0	R3
24.5	R_R3_0	0.491813525	0	R3
25	R_R3_0	0.496813525	0	R3
25.5	R_R3_0	0.497813525	0	R3
26	R_R3_0	0.498813525	0	R3
26.5	R_R3_0	0.502813525	0	R3
27	R_R3_0	0.504813525	0	R3
27.5	R_R3_0	0.506813525	0	R3
28	R_R3_0	0.505813525	0	R3
28.5	R_R3_0	0.508813525	0	R3
29	R_R3_0	0.510813525	0	R3
29.5	R_R3_0	0.510813525	0	R3
30	R_R3_0	0.515813525	0	R3
0	R_R3_0.002	0.008813525	0.002	R3
0.5	R_R3_0.002	0.009813525	0.002	R3
1	R_R3_0.002	0.012813525	0.002	R3
